Tác giả: Jules Verne & André Laurie	Jules Verne - André Laurie	2.175
		0.3
Tác phẩm: Chú bé thoát nạn đắm tàu	A „Cynthia” hajótöröttje	0.2
		0.3
Nguyên bản tiếng Pháp: L’épave du “Cynthia”		-0.3
		0.3
(Người bị trôi giạt từ tàu Cinthia)	Gaál Mózes fordításában	0.144444
		0.3
Dịch giả: Phạm Hậu		-0.3
		0.3
Nhà xuất bản Trẻ, 1996	TARTALOM ~~~ ELSŐ FEJEZET.	-0.0125
 ~~~ Tủ sách: Văn học nước ngoài	Malárius barátja. ~~~ MÁSODIK FEJEZET.	-0.168182
 ~~~ Đánh máy: HanAn ~~~ 	Egy noroëi halásznál.	-0.121053
Nguồn: vnthuquan.net	HARMADIK FEJEZET.	0.211765
 ~~~ Thực hiện ebook: Zaqqaz ~~~  ~~~  ~~~ 	Hersebom gazda valamit gondol.	-0.182222
 ~~~  ~~~ MỤC LỤC ~~~  ~~~  ~~~ 	NEGYEDIK FEJEZET.	-0.215385
LỜI NGƯỜI DỊCH	Stockholmban.	0.171429
 ~~~ CHƯƠNG MỘT: NGƯỜI BẠN CỦA THẦY GIÁO MALJARIUS ~~~ 	ÖTÖDIK FEJEZET. ~~~ A karácsonyi vakáczió.	-0.22619
CHƯƠNG HAI: Ở NHÀ MỘT DN CHÀI NÔRÔÊ	HATODIK FEJEZET.	-0.15
 ~~~ CHƯƠNG BA: NHỮNG SUY NGHĨ CỦA BÁC HECSÊBOM ~~~ 	Erik dönt a sorsa felett. ~~~ HETEDIK FEJEZET.	-0.2125
CHƯƠNG BỐN: Ở XTÔCKHÔM	Vanda véleménye.	0.133333
 ~~~ CHƯƠNG NĂM: TRETTEN JULEN DAGE	NYOLCZADIK FEJEZET.	-0.0868421
 ~~~ CHƯƠNG SÁU: QUYẾT ĐỊNH CỦA ÊRIK ~~~ 	O’Donoghan Patrick.	-0.180952
CHƯƠNG BẢY: Ý KIẾN CỦA VANĐA ~~~ 	KILENCZEDIK FEJEZET.	-0.105
CHƯƠNG TÁM: PATRIC Ô ĐÔNÔGAN	Ötszáz font sterling jutalom.	0.268966
 ~~~ CHƯƠNG CHÍN: NĂM TRĂM ĐỒNG BẢNG ANH TIỀN THUỞNG ~~~ 	TIZEDIK FEJEZET. ~~~ Tudor Brown.	-0.286207
CHƯƠNG MƯỜI: ÔNG TUYĐOR BRAUN	TIZENEGYEDIK FEJEZET.	0.128571
 ~~~ CHƯƠNG MƯỜI MỘT: BÀI BÁO VIẾT CHO CHÚNG TA TỪ TÀU "VÊGA" ~~~ 	A «Végá»-ról írják nekünk...	-0.182353
CHƯƠNG MƯỜI HAI: NHỮNG HÀNH KHÁCH BẤT NGỜ ~~~ 	TIZENKETTEDIK FEJEZET. ~~~ Váratlan utasok.	-0.18
CHƯƠNG MƯỜI BA: THẲNG HƯỚNG TY - NAM ~~~ 	TIZENHARMADIK FEJEZET.	-0.122727
CHƯƠNG MƯỜI BỐN: BAS - FRUAĐ	Menjünk délnyugatnak.	0.182609
 ~~~ CHƯƠNG MƯỜI LĂM: BẰNG CON ĐƯỜNG NGẮN NHẤT	TIZENNEGYEDIK FEJEZET.	-0.197727
 ~~~ CHƯƠNG MƯỜI SÁU: TỪ MŨI TRÁI TIM - ĐÁ ĐẾN QUẦN ĐẢO LJAKHÔV ~~~ 		-0.3
CHƯƠNG MƯỜI BẢY: CHẠY HẾT TỐC LỰC	A meghamisított térkép.	0.084
