Nhật Ký Anne Frank	Anne Frank naplója ~~~ 	0.741667
	(A hátsó traktus) ~~~  ~~~  ~~~ 	-0.3
	Fordította	-0.3
	 ~~~ F. Solti Erzsébet	-0.3
	 ~~~ A versbetéteket fordította ~~~ 	-0.3
	Frank László ~~~  ~~~  ~~~  ~~~ 	-0.3
	 ~~~ A MEK EGYESÜLET TÁMOGATÁSA ~~~  ~~~  ~~~ 	-0.3
	Eredeti kiadvány:	-0.3
	 ~~~ Anne Frank naplója: A hátsó traktus / Anne Frank ~~~ 	-0.3
	Budapest: Európa, 1959 ~~~  ~~~  ~~~ 	-0.3
	Elektronikus kiadvány a	-0.3
	 ~~~ Magyar Elektronikus Könyvtárban: ~~~ 	-0.3
	http://mek.oszk.hu/00200/00261 ~~~  ~~~  ~~~ 	-0.3
		0.3
		0.3
	Készült a MEK Egyesület megbízásából.	-0.3
	Kérjük, támogassa munkánkat adományokkal vagy az SZJA 1%-ának felajánlásával!	-0.3
	A MEK Egyesület adószáma: 18100277-1-41	-0.3
		0.3
	Bankszámlaszáma:	-0.3
		0.3
	CIB Bank Zrt.	-0.3
	10700464-66140997-51100005	-0.3
		0.3
Chia sẻ ebook : http://downloadsach.com/	Honlapja: http://mek.oszk.hu/egyesulet/ ~~~ 	0
		0.3
Follow us on Facebook : https://www.facebook.com/caphebuoitoi	 ~~~ Külföldről történő átutalás esetén: ~~~  ~~~ SWIFT/BIC kód: CIBHHUHB ~~~ 	-0.197727
	IBAN: HU93-1070-0464-6614-0997-5110-0005 ~~~ 	-0.3
		0.3
		0.3
		0.3
		0.3
	1942. június 14, vasárnap	-0.3
		0.3
	Pénteken, június 12-én már reggel hatkor felébredtem.	-0.3
	Érthető, hiszen akkor volt a születésnapom.	-0.3
	Ilyen korán azonban nem szabad felkelnem.	-0.3
	Háromnegyed hétig legyőztem hát a kíváncsiságomat, de tovább nem bírtam.	-0.3
	Kiugrottam az ágyból s besiettem az ebédlőbe.	-0.3
	Moortje, a macska, fejét lábamhoz dörzsölve üdvözölt.	-0.3
Anneliese Marie Frank sinh ngày 12 tháng 6 năm 1929 tại Frankfurt-on-Main, nước Đức, trong một gia đình Do Thái.	Alig múlt hét óra, amikor bementem apához és anyához, azután meg a nappaliba s felbontottam a születésnapi csomagokat.	0.297273
	Első pillantásom Rád esett, igen, Rád, aki ott vártál rám.	-0.3
	Úgy éreztem, Te vagy a legkedvesebb ajándék, amit ezen a napon csak kaphattam.	-0.3
	Egy csokor rózsán, egy cserép virágon meg két szál pünkösdi rózsán kívül apától és anyától is sok minden várt rám, de számos ismerősünk sem feledkezett meg rólam.	-0.3
	A virágok mellett rengeteg ajándékot találtam az asztalon: laterna magicát, társasjátékot, sok cukorkát, csokoládét, rejtvényalbumot, brosstűt, Joseph Cohen Holland mondák és legendák című könyvét, a Daisy vakációja a hegyekben című kedves ifjúsági regényt és annyi zsebpénzt, hogy abból megvehetem a Görög-római regéket. ~~~ Nagyszerű!... ~~~ Lies értem jött. ~~~ Elmentünk az iskolába. ~~~ A szünetben süteménnyel kínáltam tanáraimat és osztálytársaimat, aztán tovább tanultunk. ~~~ De most abba kell hagynom a naplóírást. ~~~ A viszontlátásra. ~~~ Jaj, de örülök Neked! ~~~ 1942. június 15, hétfő ~~~  ~~~ Vasárnap délután születésnapi uzsonna volt nálunk. ~~~ Levetítettük A világítótorony őre című filmet, Rin-tin-tinnel a főszerepben. ~~~ Osztálytársaim el voltak ragadtatva. ~~~ Kellemesen telt az idő, és nagyszerűen mulattunk. ~~~ Sok lány és fiú vendégem volt. ~~~ Anya folyton meg akarja tudni, melyik fiút választom majd férjül. ~~~ Sejtelme sincs, hogy Peter Wesselt, mert annak idején szemrebbenés és pirulás nélkül letagadtam. ~~~ Lies Goosenst és Sanne Houtmant évek óta ismerem. ~~~ Eddig ők voltak a legjobb barátnőim. ~~~ Közben a Zsidó Líceumban megismerkedtem Jopie de Waallal is. ~~~ Sokat vagyunk együtt, s így most ő a legjobb barátnőm. ~~~ Lies gyakrabban találkozik egy másik kislánnyal, Sanne pedig nem a mi iskolánkba jár s más lányokkal barátkozik. ~~~ 1942. jún. ~~~ 20, szombat ~~~  ~~~ Néhány napig nem írtam, mert előbb jól meg akartam gondolni ezt az egész naplóhistóriát. ~~~ A magamfajta lánynak igen szokatlan érzés naplót írni. ~~~ Nemcsak azért, mert még sose írtam, de azt hiszem, később sem engem, sem mást nem érdekelnek majd egy tizenhárom éves kislány vallomásai. ~~~ De hát ez tulajdonképpen nem fontos. ~~~ Nagy kedvvel látok neki. ~~~ Lelki szükségletem, hogy végre alaposan kiöntsem a szívem. ~~~ “A papír türelmesebb az embereknél.” Ez a mondás járt az eszemben, amikor egy szép napon, kissé borongós hangulatban, unottan kezembe temettem az arcom s még ahhoz is lusta voltam, hogy eldöntsem, elmenjek-e vagy otthon maradjak.	-0.3
Anne là con gái thứ hai của Otto Heinrich Frank và Edith Holländer.	Csak ültem egy helyben és tépelődtem. ~~~ A papír valóban türelmes.	0
	Nem szándékom, hogy ezt a keményfedelű füzetet, amely a kevély “napló” névre hallgat, valaha is elolvastassam valakivel, hacsak nem találok egyszer majd olyan barátot vagy barátnőt, aki valóban érdemes rá, mást meg ugyan miért is érdekelne.	-0.3
	Most érkeztem el oda, ahonnan a naplóírás ötlete kiindul: nincs barátnőm!	-0.3
	Most azonban hadd magyarázzam meg, különben senki meg nem érti, miért is áll egy tizenhárom éves leány teljesen egyedül ezen a világon.	-0.3
Otto Heinrich Frank đã từng là sĩ quan trong quân đội Đức vào thời kỳ Thế Chiến Thứ Nhất, nhưng khi Hitler lên nắm chính quyền và dùng sắc dân Do Thái làm dê tế thần, tức là một loại kẻ thù của nước Đức Quốc Xã, thì ông Otto đã quyết định mang gia đình qua thành phố Amsterdam, nước Hòa Lan năm 1933.	Voltaképpen nem is igaz. ~~~ Szerető családi körben élek, szüleimmel és tizenhat éves nővéremmel; ha jól átgondolom, van vagy harminc ismerősöm és barátnőfélém, s van egy csomó imádóm, akinek felcsillan a szeme, ha lát, és aki az iskolában, ha másként nem megy, törött zsebtükrön keresztül próbál nézegetni. ~~~ Vannak rokonaim, kedves nénik, bácsik, van rendes otthonom.	-0.101863
Vào tháng 12 năm 1940, ông Otto buôn bán thực phẩm tại một tòa nhà cũ xây dựng vào thế kỷ 17, mang số 263 trên đường Prinsengracht.	Nem, látszólag mindenem megvan, kivéve, hogy nincs barátnőm. ~~~ Pajtásaimmal szórakozni szoktam, de csak hétköznapi dolgokról esik szó közöttünk.	-0.00547445
	Baj, hogy senki iránt se melegszem fel.	-0.3
	Lehet, hogy bennem van a hiba, amiért nincs bizalmas barátom.	-0.3
	Ez biztosan így van, sajnos, nem tudok rajta változtatni.	-0.3
	Ezért kezdek naplót írni.	-0.3
	A barátnőt akarom vele pótolni, aki után olyan régen vágytam.	-0.3
	S hogy gondolatban jobban magam előtt lássam, nemcsak az élményeimet írom majd bele, hanem ez a napló lesz a vágyva vágyott, igaz és hűséges barátnő, akit Kittynek fogok szólítani.	-0.3
	Azt hiszem, senki sem értené meg Kittyhez írott beszámolóimat, ha csak úgy ajtóstul rontanék a házba, ezért, bár nem szívesen, ideírom életem rövid történetét.	-0.3
