NGỌN HẢI ĐĂNG NƠI CUỐI TRỜI	﻿ ~~~ JULES VERNE	-0.16875
		0.3
Tác giả: Jules Verne	VILÁGÍTÓTORONY	0.25
 ~~~ Dịch thuật: Phan Nam	A VILÁG VÉGÉN	-0.07
		0.3
Xuất bản: Nhà xuất bản Trẻ	FORDÍTOTTA: ~~~ KOVÁCSI BARNABÁS	-0.0046875
		0.3
Text: Vnthuquan		-0.3
		0.3
Ebook: Cuibap	TARTALOM	0.166667
 ~~~  ~~~ 	  	-0.166667
 ~~~ 	1.	0
LỜI NÓI ĐẦU	A felavatás	0.2
 ~~~ 	  2.	-0.2
	Az Államok-sziget	-0.6
 ~~~ 	  3.	-0.2
Jules Verne là một ngôi sao sáng trên bầu trời văn học Pháp trong thể loại "Tiểu thuyết khoa học viễn tưởng”.		-0.3
Bạn đọc Việt Nam, ai là người chẳng từng đọc qua các tác phẩm tiêu biểu của ông về đề tài này như Vòng quanh thế giới trong 80 ngày, 20.000 dặm dưới đáy biển ,Năm tuần trên khinh khí cầu.		-0.3
Tuy nhiên, trong lĩnh vực tiểu thuyết phiêu lưu mạo hiểm, ngòi bút của ông cũng không kém phần sắc sảo.		-0.3
Bạn đọc nào ưa thích thể loại này hẳn đã phải đọc qua:	A három toronyőr ~~~   4.	-0.24
 ~~~ Những đứa con của thuyền trưởng Grant, Phiêu lưu vào vùng mỏ Aberfoyle của ông, cũng do Nhà Xuất bản Trẻ xuất bản.		-0.3
Lần ấn hành này, chúng tôi cho ra mắt bạn đọc cuốn Ngọn hải đăng nơi cuối trời , một cuốn tiểu thuyết phiêu lưu mạo hiểm của Jules Verne để đóng góp thêm vào tủ sách Văn học dịch của Việt Nam.		-0.3
Chuyện xoay quanh việc chính phủ nước cộng hòa Argentina cho xây dựng trên một hòn đảo mang tên “Đảo các auốc gia" một ngọn hải đăng, nhằm hướng dẫn các tàu bè qua lại eo biển Lemaira, một eo biển hẹp lởm chởm các bãi đá ngầm.		-0.3
Sau khi khánh thành ngọn đèn biển này, toàn bộ công nhân xây dựng, kỹ sư... đã được rút đi chỉ để lại trên đảo một toán bảo vệ gồm ba người là Vasquez, Felipe và Moriz.		-0.3
Tổ bảo vệ này có trách nhiệm vận hành đèn hằng đêm và bảo vệ nó.	Kongre bandája ~~~   5.	-0.345652
Họ sẽ ở lại đảo trong một thời gian nhất định, sau đó ở đất liền sẽ có một tổ bảo vệ khác ra thay thế họ để tiếp tục công việc trên.		-0.3
Mọi việc đã diễn ra khá suông sẻ trong thời gian đầu.	A Maule nevű kétárbocos ~~~   6.	-0.13125
