Trên Sa Mạc Và Trong Rừng Thẳm	﻿ ~~~ HENRYK SIENKIEWICZ	-0.0652174
		0.3
Henryk Sienkiewicz ~~~ 	SIVATAGON ÉS VADONBAN	-0.0075
Ebook miễn phí tại : www.Sachvui.Com ~~~ 		-0.3
		0.3
 ~~~ * * * ~~~  ~~~  ~~~  ~~~ 	REGÉNY	-0.216667
		0.3
Giới Thiệu ~~~ 	Fordította	-0.025
 ~~~ Henryk Sienkiewicz (1846 - 1916) là nhà văn xuất sắc của Ba Lan thời cận đại, một trong những văn hào lớn của thế giới (ông được tặng giải Noben về văn học năm 1905).		-0.3
Các tác phẩm của ông tràn đầy tinh thần dân tộc, tình yêu chính nghĩa và công lí, lòng nhân đạo, lên án mọi thứ bất công, mọi hình thức áp bức bóc lột con người. ~~~ H ~~~ 		-0.3
Ở Ba Lan, các tác phẩm của Sienkiewicz là sách gối đầu giường của nhiều thế hệ.		-0.3
Trong những năm phát xít Hítle chiếm đóng Ba Lan, chúng ra lệnh cấm đọc, cấm tàng trữ sách của Sienkievicz, tịch thu và đốt các tác phẩm của văn hào, nhưng nhân dân Ba Lan vẫn bí mật truyền tay nhau đọc, dù bao người vì thế phải bị treo cổ hoặc đưa vào trại tập trung.		-0.3
Trên văn đàn thế giới, các truyện ngắn, truyệ n vừa cùng những tiểu thuyết lịch sử rất xuất sắc của ông như: Bằng lửa và gươm, Trận Hồng thủy, Ngài Vôlôđixki, Quo vadis, Hiệp sĩ thánh chiến... được xếp vào hàng các tác phẩm kinh điển, được dịch ra trên bốn mươi thứ tiếng, nhiều lần được dựng thành kịch, quay thành phim và rất được ưa chuộng.		-0.3
Trong di sản văn học đồ sộ với hơn 60 tập sách của H.Sienkievicz, tiểu thuyết chiếm một vị trí đặc biệt: đó là tác phẩm duy nhất mà văn hào viết tặng cho bạn đọc thiếu nhi.		-0.3
Tác phẩm ra đời năm 1911, trong thời kì “hồi xuân” của văn hào sau hơn 10 năm bệnh tật.		-0.3
Ngay sau khi xuất bản, tác phẩ m đã được hoan nghênh nhiệt liệt, được tái bản ngay và được dịch ra nhiều thứ tiếng nước ngoài.		-0.3
Và trong suốt gần một thế kỉ qua, nhiều thế hệ thanh niên đã ngưỡng mộ và học tập Xtas, yêu mến tri kỉ với Nen, vui cười với sự láu lỉnh của Cali.		-0.3
Tác phẩm đã gợi nên khát vọng sống cao đẹp, khát vọng đi tới những chân trời xa, thực hiện những kì tích phi thường, vượt mọi hiểm nguy, chiến thắng mọi bất công tàn ác.		-0.3
