Tên eBook: Iliad và Odyssey (full prc, pdf, epub)	 ~~~ Fordította: Devecseri Gábor ~~~  ~~~  ~~~  ~~~  ~~~ 	-0.234286
	A MEK EGYESÜLET TÁMOGATÁSA ~~~  ~~~ 	-0.3
		0.3
		0.3
Tác giả: Homer	Eredeti kiadvány:	0.2625
		0.3
	Odüsszeia / Íliász	-0.3
		0.3
Thể loại: Sử thi, Trường ca, Văn học phương Tây	Szentendre, Interpopulart, 1994	0.06
		0.3
		0.3
		0.3
	Elektronikus kiadvány a	-0.3
		0.3
	Magyar Elektronikus Könyvtárban:	-0.3
		0.3
Dịch giả: Đỗ Khánh Hoan	http://mek.oszk.hu/00400/00406 ~~~ 	-0.0160714
		0.3
		0.3
		0.3
		0.3
	Készült a MEK Egyesület megbízásából.	-0.3
	Kérjük, támogassa munkánkat adományokkal vagy az SZJA 1%-ának felajánlásával!	-0.3
	A MEK Egyesület adószáma: 18100277-1-41	-0.3
		0.3
Nguồn: tve-4u.org	Bankszámlaszáma:	0.3
		0.3
	CIB Bank Zrt.	-0.3
	10700464-66140997-51100005	-0.3
		0.3
	Honlapja: http://mek.oszk.hu/egyesulet/	-0.3
		0.3
		0.3
		0.3
Ebook: Đào Tiểu Vũ's eBook - http://www.dtv-ebook.com	Külföldről történő átutalás esetén: ~~~  ~~~ SWIFT/BIC kód: CIBHHUHB	-0.120455
		0.3
	IBAN: HU93-1070-0464-6614-0997-5110-0005	-0.3
		0.3
		0.3
		0.3
		0.3
Giới thiệu:	 ~~~ ELSŐ ÉNEK – ~~~ 	-0.106667
	A DÖGVÉSZ	-0.3
	 ~~~ AKHILLEUSZ HARAGJA ~~~ 	-0.3
		0.3
		0.3
		0.3
liad và Odyssey của đại thi hào Homer chính là hai thiên sử thi kinh điển và là cột trụ của văn minh phương Tây.	Haragot, istennő zengd Péleidész Akhileuszét, ~~~  ~~~ vészest, mely sokezer kínt szerzett minden akhájnak, ~~~  ~~~ mert sok hősnek erős lelkét Hádészra vetette, ~~~ 	-0.261538
	míg őket magukat zsákmányul a dögmadaraknak ~~~ 	-0.3
	és a kutyáknak dobta.	-0.3
	Betelt vele Zeusz akaratja,	-0.3
	 ~~~ attól kezdve, hogy egyszer szétváltak civakodva	-0.3
Ngay cả những chính trị gia lỗi lạc như Plato, Aristotle hay bậc quân vương như Alexander Đại Đế cũng xem việc đọc hai tác phẩm này là một.	 ~~~ Átreidész, seregek fejedelme s a fényes Akhilleusz. ~~~ És melyik égilakó uszitotta viszályra a kettőt? ~~~ Létó s Zeusz fia: mert neki gyúlt a királyra haragja, ~~~ 	-0.212165
Bắt đầu từ những nhà truyền giáo cho tới kỷ nguyên toàn cầu hóa và tiếp tục trong tương lai, những ảnh hưởng của văn minh phương Tây tới Việt Nam không chỉ dừng lại ở khoa học cơ bản, mà còn mở rộng đến các ngành khoa học xã hội và nghệ thuật.	s ártó vészt keltett a seregben; hulltak a népek:	-0.6
Vì vậy, để thực sự khai thác xu hướng này, chúng ta cần tìm hiểu nền tảng và cội nguồn của văn minh phương Tây: Hy Lạp cổ đại.	 ~~~ mert ama Khrűszészt megsértette, az ő szent papját,	-0.259615
Không hề quá lời khi cho rằng, việc tìm hiểu Hy Lạp cổ đại là một điều kiện tiên quyết nhằm mang lại sự hiểu biết thấu đáo liên quan đến những luận điểm và học thuyết chủ đạo đang chi phối thế giới mà chúng ta đang sống: Lịch Sử và Thần Thoại, Giới Tính và Xác Thân, Tôn Giáo và Hôn Nhân, Chính Trị và Dân Chủ…		-0.3
		0.3
	Átreidész: odajött az a fürge akháji hajókhoz,	-0.3
		0.3
	végtelenül sok váltsággal megváltani lányát,	-0.3
		0.3
Iliad và Odyssey là những bản trường ca của binh lửa và giáo gươm.	messzelövő Phoibosz koszorúját tartva kezében, ~~~ 	-0.063
Ở đó những kẻ nhút nhát và rụt rè trước chiến trận mới chính là đối tượng bị dè bỉu.	fönt aranyos botján, s kérlelte az összes akháj hőst, ~~~  ~~~ Átreusz két sereget-tagoló sarját a leginkább:	-0.188889
Nhưng Homer không cổ súy cho chiến tranh mà dùng chiến tranh để thử thách con người và dùng Cái Chết để bộc lộ đức hạnh của họ.	 ~~~ “Átreidák s valamennyi remek-lábvértes akháj hős, ~~~  ~~~ nektek az égilakók adják meg, hogy Priamosznak ~~~ 	-0.274909
Aristotle diễn giải bi kịch Hy Lạp là sự kết hợp của số phận và sai lầm cá nhân.	várát feldúlván, haza épen térjetek innen, ~~~  ~~~ csak szeretett lányom kérem, s ti vegyétek e díjat,	-0.178
Nghĩa là một kết cục không vui chỉ thành bi kịch khi phẩm chất trí tuệ và đức hạnh của nhân vật chính phải vượt hẳn người thường.	 ~~~ Zeusz sarját tisztelve, a messzelövő nagy Apollónt.” ~~~  ~~~ Erre helyeslően zúgtak fel az összes akhájok:	-0.278182
Và từ những biến cố đó người ta phát lộ ra những gì đẹp đẽ nhất của mình.	 ~~~ tiszteljék a papot, s tartsák meg a nagyszerű díjat; ~~~  ~~~ mégsem tetszett így Agamemnón Átreidésznak, ~~~ 	-0.223529
Còn Karl Japers cho rằng ý chí đương đầu và chấp nhận những bóng tối và sụp đổ, những điều sản sinh từ hiểm nguy và nghiêm trọng của cuộc đời vượt quá sự tri nghiệm của con người, chính là tinh thần gây dựng nên văn	rútul ráförmedt, elküldte goromba szavakkal:	-0.6
		0.3
	“Hallod, öreg, ne találjalak én a nagyöblü hajóknál,	-0.3
		0.3
	most se időzz hosszan, később se kerülj ide vissza:	-0.3
		0.3
Bên cạnh đó, Iliad và Odyssey còn là những suy tư và chiêm nghiệm của người Hy Lạp cổ đại về mối quan hệ vừa thân thuộc vừa xa lạ giữa con người và vũ trụ, của linh hồn và thế giới, của bên trong và bên	úgy ne legyen, hogy e bot s isten koszorúja se véd meg. ~~~ Én a leányt nem adom ki, előbb utoléri az aggkor	-0.208065
		0.3
	messze hazájától, Argoszban, az én palotámban,	-0.3
		0.3
	míg a szövőszéken szövöget, s velem ágyamat osztja;	-0.3
		0.3
Phương Tây xem trọng hai bản trường ca này vì chúng là biên niên sử của quá trình tiến hóa của ý thức con người, nhất là ý thức về thời gian.	menj hát, föl ne dühíts, hogy egészségben hazatérhess.” ~~~  ~~~ Így szólt ő; megijedt az öreg s hajlott a szavára; ~~~  ~~~ hallgatagon haladott zsivajos tenger vize mellett, ~~~ 	-0.278333
	majd, hogy messzevonult az öreg, sok imával esengett ~~~ 	-0.3
Điều đặc biệt của quá trình tiến hóa ý thức là nó tiếp tục diễn ra ngay cả khi xác thân đã hoàn tất quá trình biến đổi.	büszke Apollónhoz, kinek anyja a széphaju Létó: ~~~  ~~~ “Halld, te Ezüstíjú, aki óvón Khrűsza fölött állsz	-0.236842
Chẳng phải thế mà ta luôn coi vóc dáng cơ thể của	 ~~~ az isteni Killa fölött, Tenedoszban erősen uralkodsz,	-0.00283019
		0.3
	Szmintheusz: hogyha neked kedves szentélyt betetőztem	-0.3
		0.3
	bármikor is, ha kövér combját égettem ökörnek	-0.3
		0.3
Achilles là hình mẫu cho nam và Helen cho nữ.	vagy kecskének, e vágyam vidd most teljesedésbe:	0.286364
Cuộc chiến thành Troy có thể coi như dấu chấm hết cho sự ngây thơ còn sót lại từ thuở hồng hoang.	 ~~~ könnyeimért az akhájokon állj bosszút nyilaiddal!”	-0.139091
Nó kết thúc không phải vì kẻ này mạnh hơn kẻ kia, mà vì có kẻ này “láu cá” hơn kẻ kia.	 ~~~ Így szólt ő könyörögve; meg is hallgatta Apollón:	-0.129808
Người quyết định vận mệnh cuộc chiến không ai khác hơn là Odyssey.	 ~~~ jött az Olümposz csúcsairól, haragudva szivében,	-0.0705882
Nhưng tại sao một kế hoạch rất “thô sơ” như Con ngựa thành Troy lại có thể thành công?	 ~~~ íját s kétfödelű tegezét hordozva a vállán:	-0.153125
Bối cảnh bấy giờ là buổi hoàng hôn của ký ức cộng đồng khi mỗi thành viên có thể nhìn thấy được dòng ý thức của người khác, và khái niệm lừa lọc, hay chính xác hơn là che giấu dòng ý thức cá nhân, hoàn toàn không tồn tại, cho đến khi Odysseus xuất hiện.		-0.3
Đó chính là mánh khóe đầu tiên trong lịch sử loài người.	 ~~~ és a haragvó válla fölött csörrentek a vesszők ~~~ 	-0.130612
Nhưng điều đặc biệt và thú vị hơn cả là sự tương tác giữa thần và người trong hai thiên sử thi này.	minden mozdulatára: közelgett, mint a sötét éj. ~~~ Majd a hajóktól messze leült, s röpitette a vesszőt:	-0.0214286
Các thần Hy Lạp mang hình dáng con người, khác với các nền văn minh đương thời khác như Ai Cập hay Mesopotamian.	 ~~~ rettenetes pengés hangzott, bongott az ezüst íj. ~~~ Kezdetben csak az öszvérekre s a fürge kutyákra ~~~  ~~~ lőtte hegyes nyilait, de utána magára a népre:	-0.196304
