 ~~~ 	﻿	-0.05
 ~~~ Tác Giả: Bram Stoker		-0.3
 ~~~ Thể Loại: Tiểu Thuyết, Kinh Dị, Ma Quái ~~~ 		-0.3
Dịch Giả: Nguyễn Tuyên		-0.3
 ~~~ Nhà xuất bản: Nhà xuất bản văn học ~~~ 		-0.3
Nguồn: phuonghong.com		-0.3
 ~~~ Ebook: daotieuvu.blogspot.com		-0.3
 ~~~ Ebook được blog Đào Tiểu Vũ hoàn thành với mục đích phi thương mại, nhằm chia sẻ với những bạn ở xa hoặc không có điều kiện mua sách, khi sao lưu xin ghi rõ nguồn.		-0.3
Trong điều kiện có thể bạn hãy mua sách để ủng hộ nhà xuất bản và tác giả. ~~~ Mục Lục: ~~~  ~~~ Giới thiệu ~~~  ~~~ Chương 1 ~~~  ~~~ Chương 2 ~~~  ~~~ Chương 3 ~~~  ~~~ Chương 4 ~~~  ~~~ Chương 5 ~~~  ~~~ Chương 6 ~~~  ~~~ Chương 7 ~~~  ~~~ Chương 8 ~~~  ~~~ Chương 9 ~~~  ~~~ Chương 10 ~~~  ~~~ Chương 11 ~~~  ~~~ Chương 12 ~~~  ~~~ Chương 13 ~~~  ~~~ Chương 14 ~~~  ~~~ Chương 15 ~~~  ~~~ Chương 16 ~~~  ~~~ Chương 17 ~~~ 		-0.3
Chương 18	BRAM STOKER	0.3
		0.3
Chương 19 ~~~ 	DRAKULA GRÓF	0
Chương 20 ~~~  ~~~ Chương 21	VÁLOGATOTT RÉMTETTEI	-0.169231
		0.3
Chương 22 ~~~  ~~~ Chương 23 ~~~ 	FORDÍTOTTA: BARTOS TIBOR	-0.213462
Chương 24		-0.3
 ~~~ Chương 25		-0.3
		0.3
Chương 26		-0.3
		0.3
Chương 27	I. FEJEZET	0.27
 ~~~ NHỮNG BẢN GHI CỦA ABRAHAM VAN HELSING		-0.3
 ~~~ NHẬT KÝ CỦA JONATHAN HARKER ~~~  ~~~ NHẬT KÝ CỦA BÁC SĨ SEWARD ~~~ 	JONATHAN HARKER GYORSÍRÁSOS NAPLÓJEGYZETEIBŐL	0.0227586
BẢN GHI CỦA BÁC SĨ VAN HELSING ~~~ 		-0.3
DRACULA		-0.3
 ~~~ NHẬT KÝ CỦA MINA HARKER ~~~ 		-0.3
GHI CHÚ		-0.3
		-0.3
		-0.3
		-0.3
		-0.3
 ~~~ Giới thiệu ~~~ 		-0.3
 ~~~ Dracula là tên một nhân vật có thật, một nhân vật gợi lại những kỷ niệm đau đớn và tàn bạo của lịch sử Rumani.	Május 3., Szász-Besztercén - Május 1-én este 8.35-kor indultam el Münchenből, másnap reggelre értem Bécsbe.	-0.0317308
Theo lời của Haữy Ludlam, người viết tiểu sử của tác giả Bram Stoker, Dracula là một lãnh chúa khét tiếng hung bạo ở xứ Valachie hồi thế kỷ thứ XV.	6.46-ra kellett volna érkeznem, de a vonat egy órát késett.	-0.272727
Sự dã man phi nhân tính của kẻ bạo chúa này đối với người Thổ được những người cùng thời ghi lại trong hai bản thảo viết tay, trong đó có một bản mô tả hắn như một bóng ma cà rồng với những lời lẽ như stregoicca phù thủy, ordog và pokol - quỷ satăng và địa ngục?	- Buda-Pesth csodálatos város, már amennyit a vonatból láthattam belőle, majd utóbb egy rövid séta során - nem akartam nagyot kerülni az állomástól, mivel ide is késéssel érkeztünk, viszont innen a vonatot időben indították tovább.	0.289242
Sử sách ghi rằng trong các cuộc chiến đẫm máu chống lại người Thổ ở Valachie và Transylvanie, những người thuộc dòng dõi quý tộc Dracula luôn tỏ ra hung bạo và khát máu.		-0.3
Người đứng đầu các chiến binh này là Dracula, một nhân vật mang đầy đủ những tính cách hắc ám nhất khiến người đương thời nghi hắn có dính líu đến quỷ dữ.		-0.3
Trong những lời truyền tụng của người xưa có đoạn: “Hắn cho chôn tù binh đến rốn rồi ra lệnh hạ sát cả loạt.. hoặc cho lấy dùi xiên vào những kẻ bại trận và nếu giãy giụa quyết liệt quá, họ sẽ bị đóng cọc ghim bàn tay xuống đất.		-0.3
Có lần hắn còn cho quẳng một tên trộm vào vạc nước sôi rồi cho xẻo thịt bắt người nhà của tên tội đồ phải ăn ngay trước mặt quần thần.	Olyan érzés kísértett, hogy a Nyugatot elhagytam és a Keletnek vágok neki: a fenségesen hömpölygő Dunán kecses híd visz át a török uralom hagyományai közé.	0.286
Hắn còn tự tay mổ bụng một người vợ đang mang thai để xem đứa con trong bào thai... Đến Saint- Barthelemy, hắn ra lệnh giết chết ba mươi ngàn người vô tội đến Schylta, hai mươi nhăm ngàn... Hắn cho treo ngược tóc những người hắn không thích, cho chém tù binh để lấy thủ cấp mời những kẻ thù khác ăn và rồi lại ra lệnh cho chém các thực khách này vào lúc tàn bữa.		-0.3
