Thông tin ebook ~~~ 	Honoré de Balzac	-0.009375
Tên truyện: Ơgiêni Grăngđe		-0.3
		0.3
Nguyên tác tiếng Pháp: Eugénie Grandet ~~~ 	Eugénie Grandet	0.775
Tác giả: Honozé De Balzac ~~~ 		-0.3
Dịch giả: Huỳnh Lý		-0.3
 ~~~ Thể loại: Văn học nước ngoài ~~~  ~~~  ~~~ 		-0.3
---------------------------------- ~~~  ~~~  ~~~ 		-0.3
Nguồn: http://vnthuquan.net ~~~ 		-0.3
Đánh máy: gianghan		-0.3
		0.3
Chuyển sang ebook (TVE): santseiya		-0.3
		0.3
Ngày hoàn thành: 19/07/2009		-0.3
 ~~~ Nơi hoàn thành: Hà Nội	FORDÍTOTTA BOGNÁR RÓBERT	-0.00576923
 ~~~ http://www.thuvien-ebook.com		-0.3
		0.3
		-0.3
		0.3
		-0.3
		0.3
Mục Lục ~~~  ~~~ 	MARIÁNAK	-0.11
 ~~~ Lời giới thiệu		-0.3
 ~~~ Chương I - Mấy dáng dấp thị thành ~~~ 	Az ön arcképe e mű legszebb éke, legyen itt az	-0.107692
Chương II - Cậu em họ Pari		-0.3
 ~~~ Chương III - Chuyện tình ở tỉnh nhỏ	ön neve: akár egy szentelt barkaág, melyet nem tudni,	-0.025
 ~~~ Chương IV - Bác keo hứa, bạn tình thề	melyik fáról törtek, de melyet bizonyosan szentté	-0.0214286
 ~~~ Chương V - Những chuyện buồn trong gia đình	tett a hit, s mely, hála jámbor kezeknek, örökkön	-0.00319149
 ~~~ Chương VI - Sự đời là thế ~~~ 	zöldell, megújul; óvja a házat.	-0.1
Kết cuộc ~~~  ~~~  ~~~  ~~~  ~~~ 		-0.3
Lời giới thiệu ~~~  ~~~  ~~~  ~~~ 		-0.3
 ~~~ Năm 1833, nhà văn hiện thực vĩ đại của nhân dân Pháp, một trong những nhà văn lớn nhất của thế giới - Honoré De Balzac - cho ra đời tác phẩm Ogieni Grangde, thiên kiệt tác đầu tiên của mình.	Némely vidéki városban vannak házak, amelyek éppolyan búskomor hangulatot keltenek a szem­lélőben, mint a mogorva kolostorok, a kietlen pusztaságok vagy a vigasztalan romhal­mazok.	-0.0273529
