ebook©vctvegroup ~~~  ~~~  ~~~  ~~~ 	﻿NAGY ÍRÓK - NAGY ÍRÁSOK	-0.201
 ~~~ VĂN HỌC CỔ ĐIỂN NƯỚC NGOÀI	SZERKESZTI BÁLINT LAJOS	-0.0717391
 ~~~ VĂN HỌC ANH	HARMADIK SOROZAT	-0.01
 ~~~ 	IV	0
		-0.3
* * *		-0.3
		-0.3
		-0.3
		0.3
CHARLES DICKENS ~~~  ~~~  ~~~  ~~~ 	CHARLES DICKENS	0.22
		0.3
NHỮNG KỲ VỌNG	NAGY VÁRAKOZÁSOK	0.3
		0.3
	FORDÍTOTTÁK	-0.3
LỚN LAO ~~~ 	MIKES LAJOS	0
 ~~~ 	ÉS	-0.05
LÊ ĐÌNH CHI dịch	TELEKES BÉLA	0.161538
		0.3
F. W. PAILTHORPE minh họa		-0.3
		0.3
		0.3
		0.3
		0.3
		0.3
NHÃ NAM		-0.3
		0.3
NHÀ XUẤT BẢN VĂN HỌC		-0.3
		0.3
Hà Nội - 2017		-0.3
		0.3
		0.3
		0.3
		0.3
		0.3
Dịch từ nguyên bản tiếng Anh:		-0.3
		0.3
Great Expectations		-0.3
		0.3
Wordsworth Editions, 1992		-0.3
		0.3
	GENIUS KIADÁS	-0.3
		0.3
		0.3
	A mű elektronikus változatára a Nevezd meg!	-0.3
	- Így add tovább!	-0.3
	3.0 Unported (CC BY-SA 3.0) Creative Commons licenc feltételei érvényesek.	-0.3
	További információk: http://creativecommons.org/licenses/by-sa/3.0/deed.hu	-0.3
		0.3
		0.3
	Elektronikus változat:	-0.3
	Budapest : Magyar Elektronikus Könyvtárért Egyesület, 2013	-0.3
	Készült az Internet Szolgáltatók Tanácsa támogatásával.	-0.3
	Készítette az Országos Széchényi Könyvtár E-könyvtári Szolgáltatások Osztálya	-0.3
	ISBN 978-615-5292-03-3 (online)	-0.3
Chương 1	MEK-11421	0.3
		0.3
		0.3
	ELSŐ KÖTET	-0.3
	Bevezetés. ~~~ Nagy várakozások... Nagy várnivalók... Ó, ti, nemcsak olyanok, amikkel hiú ábrándozás kecsegtet, hanem ti komolyabbak s életes valósággal teljesebbek is, amiket váratlan szerencse évek során pontosan és dúsan előlegező bőkezűséggel szinte bizonyosra vehetőknek hitelesít, - hajh be csalárd játék vagytok ti mind!	-0.3
	Csapodár szerencse amily hirtelen szegődöl akár eredendő jóravalóság, akár eredendő hitványság mellé és javaiddal s mindegyre kincsesebb javakkal is akármeddig áltatod felkapottadat, be nagy megbízhatatlanság, be nagy semmi vagy, be hirtelen faképnél tudod hagyni önhitt szerelmesedet, akinek aztán nem marad egyebe, csak ami eredendő sajátja volt: a hitványnak hitványsága, az ő megrontó, elvesztő lakolásául, a jóravalónak jóravalósága, az ő megmentő, megtartó vígaszául, igazi kincséül.	-0.3
